X,Y,Z,S1,S2,S3,S4,S5,S6,S7
600.00,500.00,0.00,977.16,993.65,994.20,994.12,993.11,995.46,997.10
600.00,0.00,0.00,1034.10,993.62,994.29,994.22,993.30,995.56,997.19
600.00,-500.00,0.00,976.88,993.44,993.99,993.94,992.95,995.26,996.81
600.00,-500.00,300.00,-0.00,993.19,993.98,994.12,993.10,995.23,996.95
600.00,0.00,300.00,976.95,993.31,994.10,994.17,993.05,995.15,996.89
600.00,500.00,300.00,1033.51,993.17,993.94,993.91,992.73,994.87,996.59
600.00,0.00,-380.00,975.36,992.80,993.27,993.10,992.17,994.58,995.26
600.00,0.00,-360.00,975.97,993.19,993.61,993.42,992.46,994.90,995.89
600.00,0.00,-340.00,976.43,993.42,993.86,993.71,992.76,995.16,996.36
600.00,0.00,-320.00,976.85,993.58,994.08,993.94,993.00,995.38,996.78
600.00,0.00,-300.00,1034.02,993.69,994.25,994.11,993.24,995.58,997.11
600.00,0.00,-280.00,-0.00,993.73,994.31,994.20,993.34,995.68,997.28
600.00,0.00,-260.00,977.36,993.73,994.35,994.22,993.38,995.69,997.30
600.00,0.00,260.00,43664.10,993.61,994.39,994.39,993.37,995.51,997.35
600.00,0.00,280.00,977.31,993.56,994.36,994.35,993.30,995.43,997.25
600.00,0.00,300.00,997.05,993.48,994.30,994.29,993.23,995.30,997.05
600.00,0.00,320.00,-0.00,993.28,994.12,994.15,993.05,995.08,996.69
600.00,0.00,340.00,976.42,993.07,994.01,994.05,992.87,994.81,996.35
600.00,0.00,360.00,975.89,992.78,993.74,993.81,992.61,994.49,995.81
600.00,0.00,380.00,975.37,992.51,993.50,993.61,992.34,994.17,995.27
600.00,-630.00,0.00,974.62,992.07,992.73,992.90,992.01,994.21,994.51
600.00,-610.00,0.00,975.04,992.32,992.97,993.07,992.16,994.40,994.94
600.00,-590.00,0.00,975.61,992.68,993.27,993.34,992.44,994.68,995.52
600.00,-570.00,0.00,976.16,993.05,993.57,993.61,992.70,994.98,996.09
600.00,-550.00,0.00,1033.59,993.36,993.90,993.89,992.99,995.31,996.68
600.00,-530.00,0.00,977.09,993.59,994.11,994.07,993.13,995.50,997.03
600.00,-510.00,0.00,977.30,993.74,994.26,994.18,993.24,995.63,997.25
600.00,510.00,0.00,977.53,993.91,994.48,994.33,993.31,995.71,997.48
600.00,530.00,0.00,977.42,993.83,994.40,994.24,993.21,995.60,997.36
600.00,550.00,0.00,977.30,993.82,994.39,994.19,993.12,995.52,997.25
600.00,570.00,0.00,976.97,993.67,994.25,994.06,992.91,995.29,996.91
600.00,590.00,0.00,976.52,993.45,994.02,993.87,992.67,995.01,996.45
600.00,610.00,0.00,976.08,993.24,993.81,993.66,992.36,994.63,995.96
600.00,630.00,0.00,975.50,992.97,993.56,993.40,992.09,994.29,995.36
