# y+ ()       
# Time        	patch         	min           	max           	average       
130           	diffuser_int	1.341670e+00	5.422879e+02	4.989181e+01
130           	diffuser_ext	4.233244e-02	9.271906e+01	6.712797e+00
140           	nozzle_int	2.600772e+00	8.964476e+02	5.194885e+01
140           	nozzle_ext	3.062706e-03	2.039263e+01	7.299433e-01
140           	collector_int	7.096780e+00	5.245285e+02	8.247000e+01
140           	collector_ext	2.517053e-02	8.904141e+01	1.086939e+01
140           	diffuser_int	2.031966e+00	5.434895e+02	5.204645e+01
140           	diffuser_ext	2.158859e-02	9.248044e+01	6.441699e+00
150           	nozzle_int	2.610884e+00	8.969011e+02	5.198006e+01
150           	nozzle_ext	3.259523e-03	2.009615e+01	7.183021e-01
150           	collector_int	7.125578e+00	5.259573e+02	8.268106e+01
150           	collector_ext	6.867324e-02	8.943034e+01	1.089701e+01
150           	diffuser_int	1.336651e+00	5.459453e+02	5.456092e+01
150           	diffuser_ext	3.879621e-02	9.225786e+01	6.295297e+00
160           	nozzle_int	2.621559e+00	8.970356e+02	5.199630e+01
160           	nozzle_ext	2.784401e-03	1.983641e+01	7.132316e-01
160           	collector_int	7.154477e+00	5.271181e+02	8.286656e+01
160           	collector_ext	1.217499e-01	8.963735e+01	1.084142e+01
160           	diffuser_int	1.097893e+00	5.478067e+02	5.616756e+01
160           	diffuser_ext	7.455422e-03	9.215698e+01	6.381446e+00
170           	nozzle_int	2.631686e+00	8.970603e+02	5.200384e+01
170           	nozzle_ext	1.739848e-03	1.966966e+01	7.117131e-01
170           	collector_int	7.173900e+00	5.285727e+02	8.307171e+01
170           	collector_ext	1.402953e-01	8.975558e+01	1.074796e+01
170           	diffuser_int	2.001053e+00	5.496680e+02	5.743623e+01
170           	diffuser_ext	1.642618e-02	9.204222e+01	6.075954e+00
180           	nozzle_int	2.640878e+00	8.970599e+02	5.200719e+01
180           	nozzle_ext	7.294782e-04	1.956653e+01	7.123054e-01
180           	collector_int	7.195099e+00	5.306603e+02	8.325911e+01
180           	collector_ext	6.703609e-02	8.980350e+01	1.072228e+01
180           	diffuser_int	2.697879e+00	5.523714e+02	5.832948e+01
180           	diffuser_ext	2.564798e-02	9.198937e+01	5.763082e+00
190           	nozzle_int	2.649722e+00	8.970489e+02	5.200866e+01
190           	nozzle_ext	3.976387e-03	1.951680e+01	7.132317e-01
190           	collector_int	7.214090e+00	5.325684e+02	8.340179e+01
190           	collector_ext	1.325225e-01	8.986889e+01	1.075677e+01
190           	diffuser_int	2.402402e+00	5.551157e+02	5.894192e+01
190           	diffuser_ext	5.858088e-02	9.197354e+01	5.730123e+00
200           	nozzle_int	2.658973e+00	8.970425e+02	5.200940e+01
200           	nozzle_ext	1.224690e-03	1.948367e+01	7.141878e-01
200           	collector_int	7.222982e+00	5.338757e+02	8.348058e+01
200           	collector_ext	6.187731e-02	8.995386e+01	1.076045e+01
200           	diffuser_int	2.129411e+00	5.571929e+02	5.940069e+01
200           	diffuser_ext	1.005993e-02	9.195970e+01	5.783223e+00
210           	nozzle_int	2.666020e+00	8.970400e+02	5.200978e+01
210           	nozzle_ext	7.477271e-04	1.946895e+01	7.151521e-01
