,X,Y,Z,alpha,beta,p_static,velocity
36,-800.0,-610.0,0.0,-2.4110419761602335,-1.147500832968348,99153.01189184426,30.02374306512359
37,-800.0,-590.0,0.0,-2.321860055589922,-0.8007111823624613,99152.50343888447,30.134007520832416
38,-800.0,-570.0,0.0,-2.5105285511332105,-0.7163271430338735,99156.05869567476,30.039512519434634
39,-800.0,570.0,0.0,-2.149236652250483,-0.13750132672704485,99156.50430553843,29.97557857356697
40,-800.0,590.0,0.0,-1.9095279989786706,-0.07922943351572995,99155.9731145047,30.051686397528442
41,-800.0,610.0,0.0,-1.7890842709046302,0.21344359336690288,99155.90941290524,29.76447172593349
42,-800.0,630.0,0.0,-1.701699325346218,1.635073799213893,99147.44020495765,28.475921410146853
43,-800.0,650.0,0.0,-1.5825174182467063,7.236686064489222,99138.46873979433,13.512395976451312
44,0.0,-500.0,-300.0,-2.7372223844506505,-0.2698282662564197,99159.71933940743,29.770696693799888
45,0.0,0.0,-300.0,-1.8251771096524592,-0.9759208152881551,99160.2772315167,29.581135296184105
46,0.0,500.0,-300.0,-2.761748724998742,-0.5028945982985531,99161.28050457028,29.724900548058294
47,0.0,500.0,0.0,-2.4164269083382077,-0.5264176699125076,99163.45789492612,29.785315638757737
48,0.0,0.0,0.0,-1.6589126054061598,-0.8586178490961532,99161.51174154758,29.746597167627776
49,0.0,-500.0,0.0,-2.3596089444387482,-0.5268648083289819,99161.5209688274,29.8626549514304
50,0.0,-500.0,300.0,-1.4835470115921867,-0.8317865828181812,99150.76972630103,30.05469559030985
51,0.0,0.0,300.0,-1.4420242351433386,-0.7484471475867388,99156.61629790133,29.911973340915786
52,0.0,500.0,300.0,-2.0525372192542317,-0.2995715370834877,99150.64174207576,29.900976136645994
53,0.0,0.0,-380.0,-3.879033978900608,0.024434934610131354,99143.49706937159,23.339559147751938
54,0.0,0.0,-360.0,-3.3099746522682647,0.24488961578376406,99152.58076274644,25.93287155964859
55,0.0,0.0,-340.0,-2.5834802437089426,0.06405213617946227,99156.63401167418,28.01418985122424
