"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.7271e-06,-5.3391e-07,6.1785e-05,0,1,0,-2.2,0,-2
0.0025207,-2.7447e-39,0.035982,-0.0039243,1,0.0039999,-2.2,0,-1.996
0.0030168,0,0.038398,-0.0042011,1,0.008,-2.2,0,-1.992
0.0035129,0,0.040814,-0.004478,1,0.012,-2.2,0,-1.988
0.0040089,0,0.04323,-0.0047548,1,0.016,-2.2,0,-1.984
0.004505,0,0.045646,-0.0050316,1,0.02,-2.2,0,-1.98
0.0050011,0,0.048062,-0.0053084,1,0.024,-2.2,0,-1.976
0.0054972,0,0.050478,-0.0055852,1,0.028,-2.2,0,-1.972
0.0059932,-6.3292e-24,0.052894,-0.005862,1,0.032,-2.2,0,-1.968
0.0064893,1.9235e-23,0.05531,-0.0061388,1,0.036,-2.2,0,-1.964
0.0069854,5.0514e-23,0.057725,-0.0064157,1,0.04,-2.2,0,-1.96
0.0074815,8.7532e-23,0.060141,-0.0066925,1,0.044,-2.2,0,-1.956
0.0079776,1.3025e-22,0.062557,-0.0069693,1,0.048,-2.2,0,-1.952
0.0084736,1.786e-22,0.064973,-0.0072461,1,0.052,-2.2,0,-1.948
0.0089697,2.3267e-22,0.067389,-0.0075229,1,0.056,-2.2,0,-1.944
0.0094658,0,0.069805,-0.0077997,1,0.06,-2.2,0,-1.94
0.0099619,4.3411e-38,0.072221,-0.0080766,1,0.064,-2.2,0,-1.936
0.010458,0,0.074637,-0.0083534,1,0.068,-2.2,0,-1.932
0.010954,0,0.077053,-0.0086302,1,0.072,-2.2,0,-1.928
0.01145,-1.0309e-37,0.079469,-0.008907,1,0.076,-2.2,0,-1.924
0.011946,0,0.081885,-0.0091839,1,0.08,-2.2,0,-1.92
0.012442,-1.1393e-37,0.084301,-0.0094607,1,0.084,-2.2,0,-1.916
0.012938,0,0.086717,-0.0097375,1,0.088,-2.2,0,-1.912
0.013625,0,0.08777,-0.0098415,1,0.092,-2.2,0,-1.908
0.014388,5.0516e-37,0.088287,-0.0098777,1,0.096,-2.2,0,-1.904
0.01515,-5.1774e-37,0.088805,-0.0099138,1,0.1,-2.2,0,-1.9
0.015912,2.6516e-37,0.089322,-0.00995,1,0.104,-2.2,0,-1.896
0.016674,2.7146e-37,0.089839,-0.0099861,1,0.108,-2.2,0,-1.892
0.017436,0,0.090357,-0.010022,1,0.112,-2.2,0,-1.888
0.018198,0,0.090874,-0.010058,1,0.116,-2.2,0,-1.884
0.01896,-7.8514e-22,0.091392,-0.010095,1,0.12,-2.2,0,-1.88
0.019723,-5.3048e-22,0.091909,-0.010131,1,0.124,-2.2,0,-1.876
0.020485,-2.6537e-22,0.092426,-0.010167,1,0.128,-2.2,0,-1.872
0.021247,1.037e-23,0.092944,-0.010203,1,0.132,-2.2,0,-1.868
0.022009,2.9626e-22,0.093461,-0.010239,1,0.136,-2.2,0,-1.864
0.022771,5.9266e-22,0.093978,-0.010275,1,0.14,-2.2,0,-1.86
0.023533,8.9915e-22,0.094496,-0.010311,1,0.144,-2.2,0,-1.856
0.024296,1.2156e-21,0.095013,-0.010348,1,0.148,-2.2,0,-1.852
0.025058,0,0.095531,-0.010384,1,0.152,-2.2,0,-1.848
0.02582,6.9395e-37,0.096048,-0.01042,1,0.156,-2.2,0,-1.844
0.026582,-1.0598e-36,0.096565,-0.010456,1,0.16,-2.2,0,-1.84
0.027344,-3.5956e-37,0.097083,-0.010492,1,0.164,-2.2,0,-1.836
