"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31852,0,0.37494,-0.13496,1,0,-0.8,0,-1
0.31944,0,0.37563,-0.13548,1,0.002,-0.8,0,-0.998
0.32037,0,0.37631,-0.136,1,0.004,-0.8,0,-0.996
0.32129,0,0.377,-0.13652,1,0.006,-0.8,0,-0.994
0.32221,0,0.37769,-0.13704,1,0.008,-0.8,0,-0.992
0.32313,0,0.37837,-0.13756,1,0.01,-0.8,0,-0.99
0.32405,1.2128e-17,0.37906,-0.13808,1,0.012,-0.8,0,-0.988
0.32498,6.0816e-18,0.37975,-0.13861,1,0.014,-0.8,0,-0.986
0.3259,6.099e-18,0.38044,-0.13913,1,0.016,-0.8,0,-0.984
0.32682,6.1164e-18,0.38112,-0.13965,1,0.018,-0.8,0,-0.982
0.32774,6.1338e-18,0.38181,-0.14017,1,0.02,-0.8,0,-0.98
0.32866,0,0.3825,-0.14069,1,0.022,-0.8,0,-0.978
0.32959,0,0.38318,-0.14121,1,0.024,-0.8,0,-0.976
0.33051,0,0.38387,-0.14173,1,0.026,-0.8,0,-0.974
0.33143,0,0.38456,-0.14225,1,0.028,-0.8,0,-0.972
0.33235,0,0.38525,-0.14277,1,0.03,-0.8,0,-0.97
0.33328,0,0.38593,-0.14329,1,0.032,-0.8,0,-0.968
0.3342,0,0.38662,-0.14382,1,0.034,-0.8,0,-0.966
0.33512,0,0.38731,-0.14434,1,0.036,-0.8,0,-0.964
0.33604,0,0.38799,-0.14486,1,0.038,-0.8,0,-0.962
0.33696,0,0.38868,-0.14538,1,0.04,-0.8,0,-0.96
0.33789,0,0.38937,-0.1459,1,0.042,-0.8,0,-0.958
0.33881,0,0.39005,-0.14642,1,0.044,-0.8,0,-0.956
0.33973,0,0.39074,-0.14694,1,0.046,-0.8,0,-0.954
0.34065,0,0.39143,-0.14746,1,0.048,-0.8,0,-0.952
0.34158,0,0.39212,-0.14798,1,0.05,-0.8,0,-0.95
0.3425,0,0.3928,-0.14851,1,0.052,-0.8,0,-0.948
0.34342,0,0.39349,-0.14903,1,0.054,-0.8,0,-0.946
0.34434,0,0.39418,-0.14955,1,0.056,-0.8,0,-0.944
0.34526,0,0.39486,-0.15007,1,0.058,-0.8,0,-0.942
0.34619,0,0.39555,-0.15059,1,0.06,-0.8,0,-0.94
0.34711,0,0.39624,-0.15111,1,0.062,-0.8,0,-0.938
0.34803,0,0.39692,-0.15163,1,0.064,-0.8,0,-0.936
0.34895,0,0.39761,-0.15215,1,0.066,-0.8,0,-0.934
0.34993,0,0.39836,-0.15275,1,0.068,-0.8,0,-0.932
0.35098,0,0.39917,-0.15343,1,0.07,-0.8,0,-0.93
