"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0569e-06,-5.2314e-07,6.6734e-05,0,1,0,-2.1,0,-2
0.0027057,0,0.038462,-0.004492,1,0.0039999,-2.1,0,-1.996
0.003233,0,0.041089,-0.0048158,1,0.008,-2.1,0,-1.992
0.0037602,0,0.043716,-0.0051396,1,0.012,-2.1,0,-1.988
0.0042874,-1.3796e-39,0.046342,-0.0054634,1,0.016,-2.1,0,-1.984
0.0048146,0,0.048969,-0.0057871,1,0.02,-2.1,0,-1.98
0.0053419,9.533e-24,0.051596,-0.0061109,1,0.024,-2.1,0,-1.976
0.0058691,9.9416e-24,0.054222,-0.0064347,1,0.028,-2.1,0,-1.972
0.0063963,1.0069e-23,0.056849,-0.0067585,1,0.032,-2.1,0,-1.968
0.0069236,9.9287e-24,0.059476,-0.0070823,1,0.036,-2.1,0,-1.964
0.0074508,9.5768e-24,0.062103,-0.007406,1,0.04,-2.1,0,-1.96
0.007978,8.9763e-24,0.064729,-0.0077298,1,0.044,-2.1,0,-1.956
0.0085053,8.1837e-24,0.067356,-0.0080536,1,0.048,-2.1,0,-1.952
0.0090325,7.2121e-24,0.069983,-0.0083774,1,0.052,-2.1,0,-1.948
0.0095597,6.1029e-24,0.072609,-0.0087012,1,0.056,-2.1,0,-1.944
0.010087,4.847e-24,0.075236,-0.009025,1,0.06,-2.1,0,-1.94
0.010614,3.4749e-24,0.077863,-0.0093488,1,0.064,-2.1,0,-1.936
0.011141,0,0.08049,-0.0096726,1,0.068,-2.1,0,-1.932
0.011669,-1.9355e-40,0.083116,-0.0099963,1,0.072,-2.1,0,-1.928
0.012196,0,0.085743,-0.01032,1,0.076,-2.1,0,-1.924
0.012723,-4.3008e-40,0.08837,-0.010644,1,0.08,-2.1,0,-1.92
0.01325,9.0315e-40,0.090997,-0.010968,1,0.084,-2.1,0,-1.916
0.013778,0,0.093623,-0.011292,1,0.088,-2.1,0,-1.912
0.014508,1.5642e-38,0.09479,-0.011416,1,0.092,-2.1,0,-1.908
0.015316,0,0.095398,-0.011465,1,0.096,-2.1,0,-1.904
0.016124,8.2552e-39,0.096005,-0.011513,1,0.1,-2.1,0,-1.9
0.016932,8.4722e-39,0.096613,-0.011562,1,0.104,-2.1,0,-1.896
0.01774,0,0.097221,-0.01161,1,0.108,-2.1,0,-1.892
0.018548,-3.208e-23,0.097829,-0.011659,1,0.112,-2.1,0,-1.888
0.019357,-2.1306e-23,0.098436,-0.011707,1,0.116,-2.1,0,-1.884
0.020165,-1.064e-23,0.099044,-0.011756,1,0.12,-2.1,0,-1.88
0.020973,-2.1017e-26,0.099652,-0.011804,1,0.124,-2.1,0,-1.876
0.021781,1.0403e-23,0.10026,-0.011853,1,0.128,-2.1,0,-1.872
0.022589,2.0609e-23,0.10087,-0.011901,1,0.132,-2.1,0,-1.868
0.023397,3.0497e-23,0.10147,-0.011949,1,0.136,-2.1,0,-1.864
0.024205,4.0006e-23,0.10208,-0.011998,1,0.14,-2.1,0,-1.86
0.025013,4.9041e-23,0.10269,-0.012046,1,0.144,-2.1,0,-1.856
0.025821,5.7528e-23,0.1033,-0.012095,1,0.148,-2.1,0,-1.852
0.02663,6.5437e-23,0.10391,-0.012143,1,0.152,-2.1,0,-1.848
0.027438,7.258e-23,0.10451,-0.012192,1,0.156,-2.1,0,-1.844
0.028246,0,0.10512,-0.01224,1,0.16,-2.1,0,-1.84
0.029054,0,0.10573,-0.012289,1,0.164,-2.1,0,-1.836
0.029862,-3.5834e-38,0.10634,-0.012337,1,0.168,-2.1,0,-1.832
0.03067,0,0.10694,-0.012386,1,0.172,-2.1,0,-1.828
0.031478,0,0.10755,-0.012434,1,0.176,-2.1,0,-1.824
0.032218,0,0.10759,-0.012405,1,0.18,-2.1,0,-1.82
0.032873,0,0.10692,-0.012279,1,0.184,-2.1,0,-1.816
0.033528,5.1378e-38,0.10625,-0.012153,1,0.188,-2.1,0,-1.812
0.034183,0,0.10558,-0.012027,1,0.192,-2.1,0,-1.808
0.034838,-2.5499e-22,0.10492,-0.011902,1,0.196,-2.1,0,-1.804
0.035493,-2.1116e-22,0.10425,-0.011776,1,0.2,-2.1,0,-1.8
0.036148,-1.6706e-22,0.10358,-0.01165,1,0.204,-2.1,0,-1.796
0.036803,-1.2289e-22,0.10291,-0.011524,1,0.208,-2.1,0,-1.792
0.037458,-7.8589e-23,0.10224,-0.011399,1,0.212,-2.1,0,-1.788
0.038113,-3.4285e-23,0.10158,-0.011273,1,0.216,-2.1,0,-1.784
0.038768,1.0111e-23,0.10091,-0.011147,1,0.22,-2.1,0,-1.78
0.039423,5.445e-23,0.10024,-0.011021,1,0.224,-2.1,0,-1.776
0.040078,9.8735e-23,0.099571,-0.010895,1,0.228,-2.1,0,-1.772
0.040733,1.4287e-22,0.098903,-0.01077,1,0.232,-2.1,0,-1.768
0.041388,1.8693e-22,0.098235,-0.010644,1,0.236,-2.1,0,-1.764
0.042043,2.3076e-22,0.097567,-0.010518,1,0.24,-2.1,0,-1.76
0.042698,2.7431e-22,0.096899,-0.010392,1,0.244,-2.1,0,-1.756
0.043353,3.1773e-22,0.096231,-0.010267,1,0.248,-2.1,0,-1.752
0.044008,-6.0426e-38,0.095563,-0.010141,1,0.252,-2.1,0,-1.748
0.044663,-6.0992e-38,0.094895,-0.010015,1,0.256,-2.1,0,-1.744
0.045318,1.2311e-37,0.094227,-0.0098894,1,0.26,-2.1,0,-1.74
0.045973,0,0.093559,-0.0097636,1,0.264,-2.1,0,-1.736
0.046608,-6.2702e-38,0.092981,-0.0096587,1,0.268,-2.1,0,-1.732
0.047149,0,0.092823,-0.0096508,1,0.272,-2.1,0,-1.728
0.04769,-1.2797e-37,0.092664,-0.0096429,1,0.276,-2.1,0,-1.724
0.048231,-6.4628e-38,0.092506,-0.0096351,1,0.28,-2.1,0,-1.72
