"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.042553,-3.2834e-20,0.070123,-0.0060422,1,0.3,-2.4,0,-1.7
0.042996,-2.4479e-20,0.070069,-0.0060482,1,0.304,-2.4,0,-1.696
0.043438,-1.569e-20,0.070016,-0.0060542,1,0.308,-2.4,0,-1.692
0.04388,-6.4646e-21,0.069962,-0.0060602,1,0.312,-2.4,0,-1.688
0.044322,3.2084e-21,0.069908,-0.0060662,1,0.316,-2.4,0,-1.684
0.044765,1.3337e-20,0.069855,-0.0060721,1,0.32,-2.4,0,-1.68
0.045207,2.3925e-20,0.069801,-0.0060781,1,0.324,-2.4,0,-1.676
0.045649,-7.3752e-36,0.069747,-0.0060841,1,0.328,-2.4,0,-1.672
0.046092,0,0.069693,-0.0060901,1,0.332,-2.4,0,-1.668
0.046534,0,0.06964,-0.0060961,1,0.336,-2.4,0,-1.664
0.046976,1.5118e-35,0.069586,-0.006102,1,0.34,-2.4,0,-1.66
0.047419,0,0.069532,-0.006108,1,0.344,-2.4,0,-1.656
0.047861,1.5362e-35,0.069479,-0.006114,1,0.348,-2.4,0,-1.652
0.048303,3.0969e-35,0.069425,-0.00612,1,0.352,-2.4,0,-1.648
0.048746,1.5607e-35,0.069371,-0.006126,1,0.356,-2.4,0,-1.644
0.04919,-1.5748e-35,0.069455,-0.0061541,1,0.36,-2.4,0,-1.64
0.049634,-1.5892e-35,0.069562,-0.006186,1,0.364,-2.4,0,-1.636
0.050078,-1.6036e-35,0.069668,-0.006218,1,0.368,-2.4,0,-1.632
0.050522,-1.618e-35,0.069775,-0.0062499,1,0.372,-2.4,0,-1.628
0.050967,1.6324e-35,0.069882,-0.0062818,1,0.376,-2.4,0,-1.624
0.051411,0,0.069989,-0.0063137,1,0.38,-2.4,0,-1.62
0.051855,-8.3061e-36,0.070095,-0.0063456,1,0.384,-2.4,0,-1.616
0.0523,-5.2052e-20,0.070202,-0.0063776,1,0.388,-2.4,0,-1.612
0.052744,-4.1564e-20,0.070309,-0.0064095,1,0.392,-2.4,0,-1.608
0.053188,-3.0266e-20,0.070416,-0.0064414,1,0.396,-2.4,0,-1.604
0.053633,-1.814e-20,0.070522,-0.0064733,1,0.4,-2.4,0,-1.6
0.054077,-5.174e-21,0.070629,-0.0065053,1,0.404,-2.4,0,-1.596
0.054521,8.6518e-21,0.070736,-0.0065372,1,0.408,-2.4,0,-1.592
0.054965,2.3354e-20,0.070843,-0.0065691,1,0.412,-2.4,0,-1.588
0.05541,3.8948e-20,0.070949,-0.0066011,1,0.416,-2.4,0,-1.584
0.055854,5.5452e-20,0.071056,-0.006633,1,0.42,-2.4,0,-1.58
0.056298,-9.0263e-36,0.071163,-0.0066649,1,0.424,-2.4,0,-1.576
0.056743,-1.8197e-35,0.07127,-0.0066968,1,0.428,-2.4,0,-1.572
0.057187,1.8341e-35,0.071376,-0.0067288,1,0.432,-2.4,0,-1.568
0.057631,5.5454e-35,0.071483,-0.0067607,1,0.436,-2.4,0,-1.564
0.058076,0,0.07159,-0.0067926,1,0.44,-2.4,0,-1.56
0.05852,3.7546e-35,0.071697,-0.0068245,1,0.444,-2.4,0,-1.556
0.058962,1.8917e-35,0.071755,-0.0068488,1,0.448,-2.4,0,-1.552
0.059403,-1.906e-35,0.071778,-0.0068675,1,0.452,-2.4,0,-1.548
0.059845,0,0.071802,-0.0068861,1,0.456,-2.4,0,-1.544
0.060286,0,0.071825,-0.0069048,1,0.46,-2.4,0,-1.54
0.060727,-9.4426e-20,0.071848,-0.0069234,1,0.464,-2.4,0,-1.536
0.061168,-8.7632e-20,0.071871,-0.0069421,1,0.468,-2.4,0,-1.532
0.061609,-7.9676e-20,0.071894,-0.0069608,1,0.472,-2.4,0,-1.528
0.06205,-7.0538e-20,0.071917,-0.0069794,1,0.476,-2.4,0,-1.524
0.062491,-6.0194e-20,0.071941,-0.0069981,1,0.48,-2.4,0,-1.52
0.062932,-4.8621e-20,0.071964,-0.0070167,1,0.484,-2.4,0,-1.516
0.063373,-3.5798e-20,0.071987,-0.0070354,1,0.488,-2.4,0,-1.512
0.063815,-2.1701e-20,0.07201,-0.007054,1,0.492,-2.4,0,-1.508
0.064256,-6.3072e-21,0.072033,-0.0070727,1,0.496,-2.4,0,-1.504
0.064697,1.0406e-20,0.072056,-0.0070914,1,0.5,-2.4,0,-1.5
0.065138,2.8458e-20,0.07208,-0.00711,1,0.504,-2.4,0,-1.496
0.065579,4.7875e-20,0.072103,-0.0071287,1,0.508,-2.4,0,-1.492
0.06602,6.8676e-20,0.072126,-0.0071473,1,0.512,-2.4,0,-1.488
0.066461,9.0889e-20,0.072149,-0.007166,1,0.516,-2.4,0,-1.484
0.066902,1.1453e-19,0.072172,-0.0071847,1,0.52,-2.4,0,-1.48
0.067344,1.3963e-19,0.072195,-0.0072033,1,0.524,-2.4,0,-1.476
0.067785,1.662e-19,0.072219,-0.007222,1,0.528,-2.4,0,-1.472
0.068226,1.9426e-19,0.072242,-0.0072406,1,0.532,-2.4,0,-1.468
0.068659,-5.9541e-20,0.07226,-0.0072586,1,0.536,-2.4,0,-1.464
0.069073,-6.238e-20,0.072268,-0.0072751,1,0.54,-2.4,0,-1.46
0.069486,-6.4546e-20,0.072276,-0.0072916,1,0.544,-2.4,0,-1.456
0.0699,-6.6034e-20,0.072284,-0.0073081,1,0.548,-2.4,0,-1.452
0.070314,-6.6838e-20,0.072292,-0.0073246,1,0.552,-2.4,0,-1.448
0.070728,-6.6955e-20,0.072301,-0.007341,1,0.556,-2.4,0,-1.444
0.071142,-6.6378e-20,0.072309,-0.0073575,1,0.56,-2.4,0,-1.44
0.071555,-6.5102e-20,0.072317,-0.007374,1,0.564,-2.4,0,-1.436
0.071969,-6.3123e-20,0.072325,-0.0073905,1,0.568,-2.4,0,-1.432
0.072383,-6.044e-20,0.072333,-0.007407,1,0.572,-2.4,0,-1.428
0.072797,-5.7047e-20,0.072341,-0.0074234,1,0.576,-2.4,0,-1.424
0.073211,-5.2936e-20,0.072349,-0.0074399,1,0.58,-2.4,0,-1.42
0.073625,-4.8109e-20,0.072357,-0.0074564,1,0.584,-2.4,0,-1.416
0.074038,-4.256e-20,0.072365,-0.0074729,1,0.588,-2.4,0,-1.412
0.074452,-3.6286e-20,0.072373,-0.0074894,1,0.592,-2.4,0,-1.408
0.074866,-2.9281e-20,0.072381,-0.0075058,1,0.596,-2.4,0,-1.404
0.07528,-2.1547e-20,0.072389,-0.0075223,1,0.6,-2.4,0,-1.4
0.075694,-1.308e-20,0.072397,-0.0075388,1,0.604,-2.4,0,-1.396
0.076107,-3.8726e-21,0.072405,-0.0075553,1,0.608,-2.4,0,-1.392
0.076521,6.0706e-21,0.072413,-0.0075718,1,0.612,-2.4,0,-1.388
0.076935,1.6753e-20,0.072421,-0.0075882,1,0.616,-2.4,0,-1.384
0.077349,2.8183e-20,0.072429,-0.0076047,1,0.62,-2.4,0,-1.38
0.077762,0,0.072438,-0.0076214,1,0.624,-2.4,0,-1.376
0.078147,0,0.072476,-0.0076424,1,0.628,-2.4,0,-1.372
0.078533,-5.5794e-21,0.072515,-0.0076635,1,0.632,-2.4,0,-1.368
0.078918,-1.0514e-20,0.072554,-0.0076846,1,0.636,-2.4,0,-1.364
0.079304,-1.6731e-20,0.072592,-0.0077057,1,0.64,-2.4,0,-1.36
0.079689,-2.4262e-20,0.072631,-0.0077268,1,0.644,-2.4,0,-1.356
0.080075,-3.3136e-20,0.07267,-0.0077479,1,0.648,-2.4,0,-1.352
0.08046,-4.3385e-20,0.072708,-0.007769,1,0.652,-2.4,0,-1.348
0.080846,-5.5038e-20,0.072747,-0.0077901,1,0.656,-2.4,0,-1.344
0.081231,-6.8125e-20,0.072786,-0.0078112,1,0.66,-2.4,0,-1.34
0.081617,-8.2681e-20,0.072824,-0.0078323,1,0.664,-2.4,0,-1.336
0.082002,-9.8732e-20,0.072863,-0.0078534,1,0.668,-2.4,0,-1.332
0.082388,-1.1631e-19,0.072901,-0.0078745,1,0.672,-2.4,0,-1.328
0.082773,-1.3546e-19,0.07294,-0.0078956,1,0.676,-2.4,0,-1.324
0.083159,0,0.072979,-0.0079167,1,0.68,-2.4,0,-1.32
0.083544,2.6964e-35,0.073017,-0.0079378,1,0.684,-2.4,0,-1.316
0.08393,5.4176e-35,0.073056,-0.0079589,1,0.688,-2.4,0,-1.312
0.084315,0,0.073094,-0.0079799,1,0.692,-2.4,0,-1.308
0.084701,0,0.073133,-0.008001,1,0.696,-2.4,0,-1.304
0.085086,5.492e-35,0.073172,-0.0080221,1,0.7,-2.4,0,-1.3
0.085472,5.5168e-35,0.07321,-0.0080432,1,0.704,-2.4,0,-1.296
0.085857,0,0.073249,-0.0080643,1,0.708,-2.4,0,-1.292
0.086243,-1.1133e-34,0.073287,-0.0080854,1,0.712,-2.4,0,-1.288
0.086606,-6.9843e-36,0.073339,-0.0081075,1,0.716,-2.4,0,-1.284
0.086963,0,0.073394,-0.00813,1,0.72,-2.4,0,-1.28
0.08732,-7.0343e-36,0.073448,-0.0081524,1,0.724,-2.4,0,-1.276
0.087676,-7.0593e-36,0.073503,-0.0081749,1,0.728,-2.4,0,-1.272
0.088033,0,0.073558,-0.0081973,1,0.732,-2.4,0,-1.268
0.088389,0,0.073613,-0.0082198,1,0.736,-2.4,0,-1.264
0.088746,1.507e-20,0.073668,-0.0082422,1,0.74,-2.4,0,-1.26
0.089103,-7.7064e-21,0.073723,-0.0082647,1,0.744,-2.4,0,-1.256
0.089459,-3.6781e-20,0.073778,-0.0082871,1,0.748,-2.4,0,-1.252
0.089816,-7.2205e-20,0.073833,-0.0083095,1,0.752,-2.4,0,-1.248
0.090173,-1.1403e-19,0.073888,-0.008332,1,0.756,-2.4,0,-1.244
0.090529,2.9037e-35,0.073943,-0.0083544,1,0.76,-2.4,0,-1.24
0.090886,2.9137e-35,0.073998,-0.0083769,1,0.764,-2.4,0,-1.236
0.091243,5.8475e-35,0.074053,-0.0083993,1,0.768,-2.4,0,-1.232
0.091599,-5.8675e-35,0.074108,-0.0084218,1,0.772,-2.4,0,-1.228
0.091956,1.1775e-34,0.074163,-0.0084442,1,0.776,-2.4,0,-1.224
0.092313,0,0.074218,-0.0084667,1,0.78,-2.4,0,-1.22
0.092669,1.1855e-34,0.074273,-0.0084891,1,0.784,-2.4,0,-1.216
0.093026,1.1895e-34,0.074328,-0.0085116,1,0.788,-2.4,0,-1.212
0.093383,2.387e-34,0.074383,-0.008534,1,0.792,-2.4,0,-1.208
0.093739,0,0.074438,-0.0085564,1,0.796,-2.4,0,-1.204
0.094096,-1.2015e-34,0.074492,-0.0085789,1,0.8,-2.4,0,-1.2
0.094434,0,0.07455,-0.0086011,1,0.804,-2.4,0,-1.196
0.094753,7.5492e-36,0.07461,-0.008623,1,0.808,-2.4,0,-1.192
