"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22366,0,0.58747,-0.24381,1,0,0,0,-1
0.22417,0,0.58869,-0.24462,1,0.002,0,0,-0.998
0.22469,0,0.5899,-0.24544,1,0.004,0,0,-0.996
0.2252,0,0.59112,-0.24625,1,0.006,0,0,-0.994
0.22571,0,0.59233,-0.24706,1,0.008,0,0,-0.992
0.22622,0,0.59355,-0.24788,1,0.01,0,0,-0.99
0.22673,0,0.59476,-0.24869,1,0.012,0,0,-0.988
0.22724,0,0.59598,-0.2495,1,0.014,0,0,-0.986
0.22775,0,0.59719,-0.25032,1,0.016,0,0,-0.984
0.22827,0,0.59841,-0.25113,1,0.018,0,0,-0.982
0.22878,0,0.59962,-0.25194,1,0.02,0,0,-0.98
0.22929,0,0.60083,-0.25275,1,0.022,0,0,-0.978
0.2298,0,0.60205,-0.25357,1,0.024,0,0,-0.976
0.23031,0,0.60326,-0.25438,1,0.026,0,0,-0.974
0.23082,0,0.60448,-0.25519,1,0.028,0,0,-0.972
0.23133,0,0.60569,-0.25601,1,0.03,0,0,-0.97
0.23184,0,0.60691,-0.25682,1,0.032,0,0,-0.968
0.23236,0,0.60812,-0.25763,1,0.034,0,0,-0.966
0.23287,0,0.60934,-0.25845,1,0.036,0,0,-0.964
0.23338,0,0.61055,-0.25926,1,0.038,0,0,-0.962
0.23389,0,0.61177,-0.26007,1,0.04,0,0,-0.96
0.2344,0,0.61298,-0.26089,1,0.042,0,0,-0.958
0.23491,0,0.6142,-0.2617,1,0.044,0,0,-0.956
0.23542,0,0.61541,-0.26251,1,0.046,0,0,-0.954
0.23594,0,0.61662,-0.26333,1,0.048,0,0,-0.952
0.23645,0,0.61784,-0.26414,1,0.05,0,0,-0.95
0.23696,0,0.61905,-0.26495,1,0.052,0,0,-0.948
0.23747,0,0.62027,-0.26577,1,0.054,0,0,-0.946
0.23798,0,0.62148,-0.26658,1,0.056,0,0,-0.944
0.23849,0,0.6227,-0.26739,1,0.058,0,0,-0.942
0.239,0,0.62391,-0.26821,1,0.06,0,0,-0.94
0.23951,0,0.62513,-0.26902,1,0.062,0,0,-0.938
0.24003,0,0.62634,-0.26983,1,0.064,0,0,-0.936
0.24054,0,0.62756,-0.27064,1,0.066,0,0,-0.934
0.24106,0,0.62887,-0.27158,1,0.068,0,0,-0.932
0.24159,0,0.63025,-0.27258,1,0.07,0,0,-0.93
0.24211,0,0.63162,-0.27358,1,0.072,0,0,-0.928
0.24264,0,0.633,-0.27458,1,0.074,0,0,-0.926
0.24317,0,0.63437,-0.27559,1,0.076,0,0,-0.924
0.2437,0,0.63575,-0.27659,1,0.078,0,0,-0.922
0.24423,0,0.63713,-0.27759,1,0.08,0,0,-0.92
0.24475,0,0.6385,-0.27859,1,0.082,0,0,-0.918
0.24528,0,0.63988,-0.27959,1,0.084,0,0,-0.916
0.24581,0,0.64125,-0.2806,1,0.086,0,0,-0.914
0.24634,0,0.64263,-0.2816,1,0.088,0,0,-0.912
0.24687,0,0.644,-0.2826,1,0.09,0,0,-0.91
0.24739,0,0.64538,-0.2836,1,0.092,0,0,-0.908
0.24792,0,0.64675,-0.2846,1,0.094,0,0,-0.906
0.24845,0,0.64813,-0.28561,1,0.096,0,0,-0.904
0.24898,0,0.6495,-0.28661,1,0.098,0,0,-0.902
0.24951,0,0.65088,-0.28761,1,0.1,0,0,-0.9
0.25003,0,0.65226,-0.28861,1,0.102,0,0,-0.898
0.25056,0,0.65363,-0.28961,1,0.104,0,0,-0.896
0.25109,0,0.65501,-0.29062,1,0.106,0,0,-0.894
0.25162,0,0.65638,-0.29162,1,0.108,0,0,-0.892
0.25215,0,0.65776,-0.29262,1,0.11,0,0,-0.89
0.25267,0,0.65913,-0.29362,1,0.112,0,0,-0.888
0.2532,0,0.66051,-0.29463,1,0.114,0,0,-0.886
0.25373,0,0.66188,-0.29563,1,0.116,0,0,-0.884
0.25426,0,0.66326,-0.29663,1,0.118,0,0,-0.882
0.25479,0,0.66463,-0.29763,1,0.12,0,0,-0.88
0.25531,0,0.66601,-0.29863,1,0.122,0,0,-0.878
0.25584,0,0.66739,-0.29964,1,0.124,0,0,-0.876
0.25637,0,0.66876,-0.30064,1,0.126,0,0,-0.874
0.2569,0,0.67014,-0.30164,1,0.128,0,0,-0.872
0.25743,0,0.67151,-0.30264,1,0.13,0,0,-0.87
0.25795,0,0.67289,-0.30364,1,0.132,0,0,-0.868
0.25848,0,0.67426,-0.30465,1,0.134,0,0,-0.866
0.25901,0,0.67564,-0.30565,1,0.136,0,0,-0.864
0.25954,0,0.67701,-0.30665,1,0.138,0,0,-0.862
0.26007,0,0.67839,-0.30765,1,0.14,0,0,-0.86
0.26059,0,0.67976,-0.30865,1,0.142,0,0,-0.858
0.26112,0,0.68114,-0.30966,1,0.144,0,0,-0.856
0.26165,0,0.68252,-0.31066,1,0.146,0,0,-0.854
0.26218,0,0.68389,-0.31166,1,0.148,0,0,-0.852
0.2627,0,0.68527,-0.31266,1,0.15,0,0,-0.85
0.26323,0,0.68664,-0.31366,1,0.152,0,0,-0.848
0.26376,0,0.68802,-0.31467,1,0.154,0,0,-0.846
0.26429,0,0.68943,-0.31572,1,0.156,0,0,-0.844
0.26483,0,0.69097,-0.31695,1,0.158,0,0,-0.842
0.26537,0,0.69251,-0.31817,1,0.16,0,0,-0.84
0.2659,0,0.69404,-0.3194,1,0.162,0,0,-0.838
0.26644,0,0.69558,-0.32063,1,0.164,0,0,-0.836
0.26697,0,0.69712,-0.32186,1,0.166,0,0,-0.834
0.26751,0,0.69866,-0.32309,1,0.168,0,0,-0.832
0.26805,0,0.70019,-0.32432,1,0.17,0,0,-0.83
0.26858,0,0.70173,-0.32554,1,0.172,0,0,-0.828
0.26912,0,0.70327,-0.32677,1,0.174,0,0,-0.826
0.26965,0,0.70481,-0.328,1,0.176,0,0,-0.824
0.27019,0,0.70635,-0.32923,1,0.178,0,0,-0.822
0.27073,0,0.70788,-0.33046,1,0.18,0,0,-0.82
0.27126,0,0.70942,-0.33169,1,0.182,0,0,-0.818
0.2718,0,0.71096,-0.33291,1,0.184,0,0,-0.816
0.27233,0,0.7125,-0.33414,1,0.186,0,0,-0.814
0.27287,0,0.71403,-0.33537,1,0.188,0,0,-0.812
0.27341,0,0.71557,-0.3366,1,0.19,0,0,-0.81
0.27394,0,0.71711,-0.33783,1,0.192,0,0,-0.808
0.27448,0,0.71865,-0.33906,1,0.194,0,0,-0.806
0.27501,0,0.72019,-0.34028,1,0.196,0,0,-0.804
0.27555,0,0.72172,-0.34151,1,0.198,0,0,-0.802
0.27609,0,0.72326,-0.34274,1,0.2,0,0,-0.8
0.27662,0,0.7248,-0.34397,1,0.202,0,0,-0.798
0.27716,0,0.72634,-0.3452,1,0.204,0,0,-0.796
0.27769,0,0.72787,-0.34643,1,0.206,0,0,-0.794
0.27823,0,0.72941,-0.34765,1,0.208,0,0,-0.792
0.27877,0,0.73095,-0.34888,1,0.21,0,0,-0.79
0.2793,-1.1918e-06,0.73249,-0.35012,1,0.212,0,0,-0.788
