"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.3058e-06,-5.1142e-07,7.0946e-05,0,1,0,-2,0,-2
0.0028865,5.9578e-25,0.041172,-0.005156,1,0.0039999,-2,0,-1.996
0.0034472,9.6437e-25,0.04402,-0.0055339,1,0.008,-2,0,-1.992
0.0040079,1.1465e-24,0.046869,-0.0059117,1,0.012,-2,0,-1.988
0.0045686,1.1767e-24,0.049717,-0.0062896,1,0.016,-2,0,-1.984
0.0051293,1.0902e-24,0.052565,-0.0066675,1,0.02,-2,0,-1.98
0.0056899,9.1974e-25,0.055414,-0.0070454,1,0.024,-2,0,-1.976
0.0062506,7.0023e-25,0.058262,-0.0074232,1,0.028,-2,0,-1.972
0.0068113,4.6323e-25,0.06111,-0.0078011,1,0.032,-2,0,-1.968
0.007372,2.4636e-25,0.063958,-0.008179,1,0.036,-2,0,-1.964
0.0079327,8.1139e-26,0.066807,-0.0085569,1,0.04,-2,0,-1.96
0.0084934,2.331e-27,0.069655,-0.0089347,1,0.044,-2,0,-1.956
0.0090541,4.3444e-26,0.072503,-0.0093126,1,0.048,-2,0,-1.952
0.0096147,2.3955e-25,0.075352,-0.0096905,1,0.052,-2,0,-1.948
0.010175,6.2304e-25,0.0782,-0.010068,1,0.056,-2,0,-1.944
0.010736,1.2268e-24,0.081048,-0.010446,1,0.06,-2,0,-1.94
0.011297,2.0902e-24,0.083897,-0.010824,1,0.064,-2,0,-1.936
0.011857,3.2431e-24,0.086745,-0.011202,1,0.068,-2,0,-1.932
0.012418,4.7096e-24,0.089593,-0.01158,1,0.072,-2,0,-1.928
0.012979,6.5459e-24,0.092441,-0.011958,1,0.076,-2,0,-1.924
0.01354,8.7648e-24,0.09529,-0.012336,1,0.08,-2,0,-1.92
0.0141,1.1419e-23,0.098138,-0.012714,1,0.084,-2,0,-1.916
0.014661,1.4519e-23,0.10099,-0.013091,1,0.088,-2,0,-1.912
0.015439,5.2752e-23,0.10227,-0.013239,1,0.092,-2,0,-1.908
0.016298,4.4384e-23,0.10296,-0.013302,1,0.096,-2,0,-1.904
0.017157,3.65e-23,0.10366,-0.013364,1,0.1,-2,0,-1.9
