"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2536e-06,-6.9413e-07,5.3546e-05,0,1,0,-2.5,0,-2
0.0021307,0,0.029936,-0.0027266,1,0.0039999,-2.5,0,-1.996
0.0025583,0,0.031758,-0.0028969,1,0.008,-2.5,0,-1.992
0.0029859,0,0.033581,-0.0030673,1,0.012,-2.5,0,-1.988
0.0034134,8.7966e-38,0.035404,-0.0032377,1,0.016,-2.5,0,-1.984
0.003841,1.0987e-37,0.037226,-0.003408,1,0.02,-2.5,0,-1.98
0.0042686,-1.3178e-37,0.039049,-0.0035784,1,0.024,-2.5,0,-1.976
0.0046961,0,0.040872,-0.0037487,1,0.028,-2.5,0,-1.972
0.0051237,-9.7465e-22,0.042694,-0.0039191,1,0.032,-2.5,0,-1.968
0.0055512,-9.3284e-22,0.044517,-0.0040894,1,0.036,-2.5,0,-1.964
0.0059788,-8.5587e-22,0.04634,-0.0042598,1,0.04,-2.5,0,-1.96
0.0064064,-7.4393e-22,0.048162,-0.0044301,1,0.044,-2.5,0,-1.956
0.0068339,-5.9724e-22,0.049985,-0.0046005,1,0.048,-2.5,0,-1.952
0.0072615,-4.1591e-22,0.051808,-0.0047708,1,0.052,-2.5,0,-1.948
0.0076891,-2.0034e-22,0.053631,-0.0049412,1,0.056,-2.5,0,-1.944
0.0081166,1.0279e-38,0.055453,-0.0051116,1,0.06,-2.5,0,-1.94
0.0085442,-4.3853e-38,0.057276,-0.0052819,1,0.064,-2.5,0,-1.936
0.0089718,-9.3181e-38,0.059099,-0.0054523,1,0.068,-2.5,0,-1.932
0.0093993,1.9732e-37,0.060921,-0.0056226,1,0.072,-2.5,0,-1.928
0.0098269,2.0827e-37,0.062744,-0.005793,1,0.076,-2.5,0,-1.924
0.010254,4.3844e-37,0.064567,-0.0059634,1,0.08,-2.5,0,-1.92
0.010682,0,0.06639,-0.0061337,1,0.084,-2.5,0,-1.916
0.01111,-4.8225e-37,0.068212,-0.0063041,1,0.088,-2.5,0,-1.912
0.011692,-2.4702e-37,0.068912,-0.0063583,1,0.092,-2.5,0,-1.908
0.01234,1.2538e-37,0.069135,-0.0063631,1,0.096,-2.5,0,-1.904
0.012988,6.3623e-38,0.069357,-0.006368,1,0.1,-2.5,0,-1.9
0.013637,-8.0698e-39,0.069579,-0.0063728,1,0.104,-2.5,0,-1.896
0.014285,0,0.069802,-0.0063776,1,0.108,-2.5,0,-1.892
0.014933,-6.6428e-38,0.070024,-0.0063825,1,0.112,-2.5,0,-1.888
0.015581,1.3472e-37,0.070247,-0.0063873,1,0.116,-2.5,0,-1.884
0.016229,-8.5021e-22,0.070469,-0.0063922,1,0.12,-2.5,0,-1.88
0.016878,-1.0844e-21,0.070691,-0.006397,1,0.124,-2.5,0,-1.876
0.017526,-1.3216e-21,0.070914,-0.0064019,1,0.128,-2.5,0,-1.872
0.018174,-1.5598e-21,0.071136,-0.0064067,1,0.132,-2.5,0,-1.868
0.018822,-1.7999e-21,0.071359,-0.0064115,1,0.136,-2.5,0,-1.864
0.01947,-2.0421e-21,0.071581,-0.0064164,1,0.14,-2.5,0,-1.86
0.020119,-2.2857e-21,0.071804,-0.0064212,1,0.144,-2.5,0,-1.856
0.020767,-2.5312e-21,0.072026,-0.0064261,1,0.148,-2.5,0,-1.852
0.021415,6.0621e-37,0.072249,-0.0064309,1,0.152,-2.5,0,-1.848
0.022063,0,0.072471,-0.0064358,1,0.156,-2.5,0,-1.844
0.022711,0,0.072693,-0.0064406,1,0.16,-2.5,0,-1.84
0.02336,-6.2864e-37,0.072916,-0.0064454,1,0.164,-2.5,0,-1.836
0.024008,-6.3612e-37,0.073138,-0.0064503,1,0.168,-2.5,0,-1.832
0.024656,0,0.073361,-0.0064551,1,0.172,-2.5,0,-1.828
0.025304,6.5108e-37,0.073583,-0.00646,1,0.176,-2.5,0,-1.824
0.025895,1.314e-36,0.073531,-0.0064382,1,0.18,-2.5,0,-1.82
0.026402,0,0.073082,-0.0063778,1,0.184,-2.5,0,-1.816
0.02691,6.6435e-37,0.072633,-0.0063175,1,0.188,-2.5,0,-1.812
0.027417,0,0.072184,-0.0062571,1,0.192,-2.5,0,-1.808
0.027925,0,0.071735,-0.0061968,1,0.196,-2.5,0,-1.804
0.028432,0,0.071286,-0.0061364,1,0.2,-2.5,0,-1.8
0.028939,0,0.070837,-0.006076,1,0.204,-2.5,0,-1.796
0.029447,-4.1301e-21,0.070388,-0.0060157,1,0.208,-2.5,0,-1.792
0.029954,-4.1466e-21,0.069939,-0.0059553,1,0.212,-2.5,0,-1.788
0.030461,-4.1595e-21,0.06949,-0.005895,1,0.216,-2.5,0,-1.784
0.030969,-4.171e-21,0.069041,-0.0058346,1,0.22,-2.5,0,-1.78
0.031476,-4.1788e-21,0.068592,-0.0057742,1,0.224,-2.5,0,-1.776
0.031984,-4.1833e-21,0.068143,-0.0057139,1,0.228,-2.5,0,-1.772
0.032491,-4.1859e-21,0.067694,-0.0056535,1,0.232,-2.5,0,-1.768
0.032998,-4.1855e-21,0.067245,-0.0055932,1,0.236,-2.5,0,-1.764
0.033506,-4.1817e-21,0.066796,-0.0055328,1,0.24,-2.5,0,-1.76
0.034013,-7.1576e-37,0.066347,-0.0054724,1,0.244,-2.5,0,-1.756
0.034521,-7.1943e-37,0.065898,-0.0054121,1,0.248,-2.5,0,-1.752
