"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3475e-06,-5.4816e-07,5.6447e-05,0,1,0,-2.3,0,-2
0.0023376,-8.7511e-38,0.033745,-0.0034462,1,0.0039999,-2.3,0,-1.996
0.0028056,0,0.035958,-0.0036822,1,0.008,-2.3,0,-1.992
0.0032735,0,0.038171,-0.0039182,1,0.012,-2.3,0,-1.988
0.0037415,0,0.040384,-0.0041542,1,0.016,-2.3,0,-1.984
0.0042095,1.0829e-37,0.042597,-0.0043903,1,0.02,-2.3,0,-1.98
0.0046775,-1.2989e-37,0.044811,-0.0046263,1,0.024,-2.3,0,-1.976
0.0051455,3.0299e-37,0.047024,-0.0048623,1,0.028,-2.3,0,-1.972
0.0056134,0,0.049237,-0.0050983,1,0.032,-2.3,0,-1.968
0.0060814,-3.8132e-22,0.05145,-0.0053344,1,0.036,-2.3,0,-1.964
0.0065494,-1.3015e-22,0.053663,-0.0055704,1,0.04,-2.3,0,-1.96
0.0070174,1.814e-22,0.055876,-0.0058064,1,0.044,-2.3,0,-1.956
0.0074854,5.5375e-22,0.058089,-0.0060424,1,0.048,-2.3,0,-1.952
0.0079533,9.8752e-22,0.060302,-0.0062785,1,0.052,-2.3,0,-1.948
0.0084213,0,0.062515,-0.0065145,1,0.056,-2.3,0,-1.944
0.0088893,3.2431e-37,0.064728,-0.0067505,1,0.06,-2.3,0,-1.94
0.0093573,0,0.066942,-0.0069865,1,0.064,-2.3,0,-1.936
0.0098253,0,0.069155,-0.0072226,1,0.068,-2.3,0,-1.932
0.010293,-7.7824e-37,0.071368,-0.0074586,1,0.072,-2.3,0,-1.928
0.010761,-8.2144e-37,0.073581,-0.0076946,1,0.076,-2.3,0,-1.924
0.011229,8.6465e-37,0.075794,-0.0079307,1,0.08,-2.3,0,-1.92
0.011697,0,0.078007,-0.0081667,1,0.084,-2.3,0,-1.916
0.012165,-1.9021e-36,0.08022,-0.0084027,1,0.088,-2.3,0,-1.912
0.012814,9.7936e-37,0.081158,-0.0084882,1,0.092,-2.3,0,-1.908
0.013535,-2.0033e-36,0.08158,-0.0085131,1,0.096,-2.3,0,-1.904
