"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31419,0,0.83418,-0.44653,1,0.18,0.6,0,-0.82
0.31972,0,0.83451,-0.44753,1,0.182,0.6,0,-0.818
0.32524,0,0.83484,-0.44854,1,0.184,0.6,0,-0.816
0.33077,0,0.83517,-0.44954,1,0.186,0.6,0,-0.814
0.33629,0,0.8355,-0.45054,1,0.188,0.6,0,-0.812
0.34182,0,0.83583,-0.45155,1,0.19,0.6,0,-0.81
0.34734,0,0.83616,-0.45255,1,0.192,0.6,0,-0.808
0.35287,0,0.83649,-0.45356,1,0.194,0.6,0,-0.806
0.3584,0,0.83682,-0.45456,1,0.196,0.6,0,-0.804
0.36392,0,0.83715,-0.45556,1,0.198,0.6,0,-0.802
0.36945,0,0.83748,-0.45657,1,0.2,0.6,0,-0.8
0.37545,0,0.8375,-0.45761,1,0.202,0.6,0,-0.798
0.38244,0,0.83685,-0.45874,1,0.204,0.6,0,-0.796
0.38943,0,0.83621,-0.45987,1,0.206,0.6,0,-0.794
0.39641,0,0.83556,-0.461,1,0.208,0.6,0,-0.792
0.4034,0,0.83492,-0.46213,1,0.21,0.6,0,-0.79
0.41039,0,0.83427,-0.46326,1,0.212,0.6,0,-0.788
0.41738,0,0.83363,-0.46438,1,0.214,0.6,0,-0.786
0.42437,0,0.83298,-0.46551,1,0.216,0.6,0,-0.784
0.43136,0,0.83234,-0.46664,1,0.218,0.6,0,-0.782
0.43835,0,0.83169,-0.46777,1,0.22,0.6,0,-0.78
0.44534,0,0.83105,-0.4689,1,0.222,0.6,0,-0.778
0.45232,0,0.8304,-0.47003,1,0.224,0.6,0,-0.776
0.45931,0,0.82976,-0.47116,1,0.226,0.6,0,-0.774
0.4663,0,0.82911,-0.47229,1,0.228,0.6,0,-0.772
0.47329,0,0.82847,-0.47341,1,0.23,0.6,0,-0.77
0.48028,0,0.82782,-0.47454,1,0.232,0.6,0,-0.768
0.48727,0,0.82718,-0.47567,1,0.234,0.6,0,-0.766
0.49426,0,0.82653,-0.4768,1,0.236,0.6,0,-0.764
0.50125,0,0.82589,-0.47793,1,0.238,0.6,0,-0.762
0.50823,0,0.82524,-0.47906,1,0.24,0.6,0,-0.76
0.51522,0,0.8246,-0.48019,1,0.242,0.6,0,-0.758
0.52221,0,0.82395,-0.48132,1,0.244,0.6,0,-0.756
0.53436,0,0.8215,-0.48072,1,0.246,0.6,0,-0.754
0.54907,0,0.81816,-0.47928,1,0.248,0.6,0,-0.752
0.56378,0,0.81481,-0.47784,1,0.25,0.6,0,-0.75
0.57849,0,0.81147,-0.47639,1,0.252,0.6,0,-0.748
0.59321,0,0.80812,-0.47495,1,0.254,0.6,0,-0.746
0.60792,0,0.80478,-0.4735,1,0.256,0.6,0,-0.744
0.62263,0,0.80143,-0.47206,1,0.258,0.6,0,-0.742
0.63735,0,0.79809,-0.47061,1,0.26,0.6,0,-0.74
0.65206,0,0.79474,-0.46917,1,0.262,0.6,0,-0.738
0.66677,0,0.7914,-0.46773,1,0.264,0.6,0,-0.736
0.68149,0,0.78805,-0.46628,1,0.266,0.6,0,-0.734
0.6962,0,0.78471,-0.46484,1,0.268,0.6,0,-0.732
0.71092,0,0.78136,-0.46339,1,0.27,0.6,0,-0.73
0.72563,0,0.77801,-0.46195,1,0.272,0.6,0,-0.728
0.74035,0,0.77467,-0.4605,1,0.274,0.6,0,-0.726
0.75506,0,0.77132,-0.45906,1,0.276,0.6,0,-0.724
0.76978,0,0.76798,-0.45761,1,0.278,0.6,0,-0.722
0.7845,0,0.76463,-0.45617,1,0.28,0.6,0,-0.72
0.79921,0,0.76128,-0.45472,1,0.282,0.6,0,-0.718
0.81393,0,0.75794,-0.45328,1,0.284,0.6,0,-0.716
0.82865,0,0.75459,-0.45183,1,0.286,0.6,0,-0.714
0.84336,0,0.75125,-0.45039,1,0.288,0.6,0,-0.712
0.86551,0,0.74656,-0.44771,1,0.29,0.6,0,-0.71
0.89616,0,0.74034,-0.44361,1,0.292,0.6,0,-0.708
0.92681,0,0.73412,-0.43952,1,0.294,0.6,0,-0.706
0.95746,0,0.7279,-0.43542,1,0.296,0.6,0,-0.704
0.98811,0,0.72167,-0.43133,1,0.298,0.6,0,-0.702
1.0188,0,0.71545,-0.42723,1,0.3,0.6,0,-0.7
1.0494,0,0.70923,-0.42314,1,0.302,0.6,0,-0.698
1.0801,0,0.70301,-0.41904,1,0.304,0.6,0,-0.696
1.1107,0,0.69679,-0.41495,1,0.306,0.6,0,-0.694
1.1414,0,0.69057,-0.41086,1,0.308,0.6,0,-0.692
1.172,0,0.68435,-0.40676,1,0.31,0.6,0,-0.69
1.2027,0,0.67813,-0.40267,1,0.312,0.6,0,-0.688
1.2333,0,0.6719,-0.39857,1,0.314,0.6,0,-0.686
1.264,0,0.66568,-0.39448,1,0.316,0.6,0,-0.684
1.2946,0,0.65946,-0.39038,1,0.318,0.6,0,-0.682
1.3253,0,0.65324,-0.38629,1,0.32,0.6,0,-0.68
1.3559,0,0.64702,-0.38219,1,0.322,0.6,0,-0.678
1.3866,0,0.6408,-0.3781,1,0.324,0.6,0,-0.676
1.4172,0,0.63458,-0.374,1,0.326,0.6,0,-0.674
1.4479,0,0.62836,-0.36991,1,0.328,0.6,0,-0.672
1.4785,0,0.62214,-0.36582,1,0.33,0.6,0,-0.67
1.5092,0,0.61591,-0.36172,1,0.332,0.6,0,-0.668
1.5409,0,0.60965,-0.35756,1,0.334,0.6,0,-0.666
1.58,0,0.60242,-0.35172,1,0.336,0.6,0,-0.664
1.6191,0,0.5952,-0.34588,1,0.338,0.6,0,-0.662
1.6582,0,0.58797,-0.34004,1,0.34,0.6,0,-0.66
1.6973,0,0.58075,-0.3342,1,0.342,0.6,0,-0.658
1.7364,0,0.57353,-0.32836,1,0.344,0.6,0,-0.656
1.7755,0,0.5663,-0.32252,1,0.346,0.6,0,-0.654
1.8146,0,0.55908,-0.31668,1,0.348,0.6,0,-0.652
1.8537,0,0.55185,-0.31084,1,0.35,0.6,0,-0.65
1.8928,0,0.54463,-0.305,1,0.352,0.6,0,-0.648
1.9319,0,0.53741,-0.29916,1,0.354,0.6,0,-0.646
1.9738,0,0.52987,-0.2927,1,0.356,0.6,0,-0.644
2.0294,0,0.52076,-0.28315,1,0.358,0.6,0,-0.642
2.0851,0,0.51165,-0.27361,1,0.36,0.6,0,-0.64
2.1408,0,0.50254,-0.26407,1,0.362,0.6,0,-0.638
2.1964,0,0.49343,-0.25453,1,0.364,0.6,0,-0.636
2.2521,0,0.48432,-0.24499,1,0.366,0.6,0,-0.634
2.3078,0,0.47521,-0.23544,1,0.368,0.6,0,-0.632
2.3634,0,0.4661,-0.2259,1,0.37,0.6,0,-0.63
2.4191,0,0.45699,-0.21636,1,0.372,0.6,0,-0.628
2.4747,0,0.44788,-0.20682,1,0.374,0.6,0,-0.626
2.5304,0,0.43877,-0.19727,1,0.376,0.6,0,-0.624
2.587,0,0.4296,-0.18752,1,0.378,0.6,0,-0.622
2.6566,0,0.41958,-0.17462,1,0.38,0.6,0,-0.62
2.7262,0,0.40956,-0.16173,1,0.382,0.6,0,-0.618
2.7958,0,0.39954,-0.14884,1,0.384,0.6,0,-0.616
2.8654,0,0.38952,-0.13595,1,0.386,0.6,0,-0.614
2.935,0,0.3795,-0.12305,1,0.388,0.6,0,-0.612
3.0046,0,0.36948,-0.11016,1,0.39,0.6,0,-0.61
3.0742,0,0.35946,-0.097265,1,0.392,0.6,0,-0.608
3.1438,0,0.34944,-0.084371,1,0.394,0.6,0,-0.606
3.2134,0,0.33942,-0.071476,1,0.396,0.6,0,-0.604
3.283,0,0.3294,-0.058582,1,0.398,0.6,0,-0.602
3.3526,0,0.31938,-0.045688,1,0.4,0.6,0,-0.6
3.4375,0,0.30858,-0.028244,1,0.402,0.6,0,-0.598
3.5229,0,0.29774,-0.010616,1,0.404,0.6,0,-0.596
3.6084,0,0.28691,0.0070132,1,0.406,0.6,0,-0.594
3.6938,0,0.27607,0.024642,1,0.408,0.6,0,-0.592
