# y+ ()       
# Time        	patch         	min           	max           	average       
130           	diffuser_int	4.660286e+00	2.971842e+02	9.204891e+01
130           	diffuser_ext	1.908645e-02	5.580172e+01	5.339502e+00
140           	nozzle_int	1.588937e-01	8.869854e+02	3.080814e+01
140           	nozzle_ext	3.531276e-03	9.340798e+01	1.770624e+00
140           	collector_int	7.750878e+00	6.469480e+02	1.296390e+02
140           	collector_ext	2.577745e-01	6.392612e+01	9.379852e+00
140           	diffuser_int	4.248566e+00	2.923298e+02	9.018141e+01
140           	diffuser_ext	9.752885e-03	5.637851e+01	5.308631e+00
150           	nozzle_int	1.535670e-01	8.871769e+02	3.086853e+01
150           	nozzle_ext	7.949361e-03	9.335939e+01	1.631399e+00
150           	collector_int	7.796776e+00	6.423222e+02	1.301269e+02
150           	collector_ext	1.171903e-01	6.488224e+01	9.436035e+00
150           	diffuser_int	2.779065e+00	2.962386e+02	8.970935e+01
150           	diffuser_ext	1.218703e-02	5.621166e+01	5.215037e+00
160           	nozzle_int	1.281653e-01	8.874668e+02	3.089123e+01
160           	nozzle_ext	3.262130e-03	9.346962e+01	1.502953e+00
160           	collector_int	7.630711e+00	6.370262e+02	1.303289e+02
160           	collector_ext	7.974762e-02	6.550384e+01	9.486585e+00
160           	diffuser_int	4.362267e+00	2.973003e+02	8.999276e+01
160           	diffuser_ext	4.080197e-02	5.615109e+01	5.097696e+00
170           	nozzle_int	1.399822e-01	8.876240e+02	3.090744e+01
170           	nozzle_ext	2.804445e-03	9.349008e+01	1.404844e+00
170           	collector_int	7.571783e+00	6.365933e+02	1.304409e+02
170           	collector_ext	1.723233e-01	6.610274e+01	9.539824e+00
170           	diffuser_int	3.647113e+00	2.961779e+02	9.032498e+01
170           	diffuser_ext	3.478232e-02	5.628886e+01	5.047328e+00
180           	nozzle_int	1.563664e-01	8.876843e+02	3.091676e+01
180           	nozzle_ext	8.416983e-03	9.347665e+01	1.343512e+00
180           	collector_int	7.482359e+00	6.372328e+02	1.306801e+02
180           	collector_ext	7.038585e-02	6.655501e+01	9.530742e+00
180           	diffuser_int	3.997183e+00	2.957093e+02	9.090298e+01
180           	diffuser_ext	1.963717e-03	5.627723e+01	4.966719e+00
190           	nozzle_int	1.565227e-01	8.877131e+02	3.092183e+01
190           	nozzle_ext	8.478972e-03	9.347089e+01	1.309734e+00
190           	collector_int	7.441191e+00	6.392847e+02	1.309275e+02
190           	collector_ext	2.025656e-03	6.688859e+01	9.511264e+00
190           	diffuser_int	2.781757e+00	2.975631e+02	9.218017e+01
190           	diffuser_ext	2.636931e-02	5.628690e+01	4.921369e+00
200           	nozzle_int	1.573110e-01	8.877188e+02	3.092371e+01
200           	nozzle_ext	2.881101e-03	9.346732e+01	1.299912e+00
200           	collector_int	7.417660e+00	6.398421e+02	1.311486e+02
200           	collector_ext	5.842934e-02	6.702889e+01	9.504469e+00
200           	diffuser_int	3.295189e+00	3.014395e+02	9.222990e+01
200           	diffuser_ext	1.571340e-02	5.634011e+01	4.873379e+00
210           	nozzle_int	1.569276e-01	8.877195e+02	3.092442e+01
210           	nozzle_ext	4.867184e-03	9.346584e+01	1.295846e+00
210           	collector_int	7.407432e+00	6.398763e+02	1.313064e+02
210           	collector_ext	1.023583e-01	6.708078e+01	9.520715e+00
210           	diffuser_int	2.859103e+00	3.054307e+02	9.217752e+01
210           	diffuser_ext	2.266178e-02	5.635314e+01	4.849577e+00
220           	nozzle_int	1.571009e-01	8.877213e+02	3.092482e+01
220           	nozzle_ext	3.769572e-03	9.346580e+01	1.292406e+00
220           	collector_int	7.346622e+00	6.393156e+02	1.313834e+02
220           	collector_ext	7.061570e-02	6.705194e+01	9.540082e+00
220           	diffuser_int	3.401912e+00	3.082907e+02	9.250539e+01
220           	diffuser_ext	4.685605e-02	5.637086e+01	4.835871e+00
230           	nozzle_int	1.573023e-01	8.877245e+02	3.092542e+01
230           	nozzle_ext	3.903689e-03	9.346611e+01	1.290791e+00
230           	collector_int	7.296022e+00	6.386535e+02	1.314272e+02
230           	collector_ext	1.601514e-01	6.704669e+01	9.550861e+00
230           	diffuser_int	3.193619e+00	3.101912e+02	9.267825e+01
230           	diffuser_ext	1.165430e-02	5.640913e+01	4.825787e+00
240           	nozzle_int	1.575220e-01	8.877277e+02	3.092553e+01
240           	nozzle_ext	1.999009e-03	9.346626e+01	1.292207e+00
240           	collector_int	7.249560e+00	6.381430e+02	1.314536e+02
240           	collector_ext	1.761784e-01	6.703892e+01	9.555162e+00
240           	diffuser_int	2.821266e+00	3.110767e+02	9.289211e+01
240           	diffuser_ext	1.479646e-02	5.639935e+01	4.811946e+00
250           	nozzle_int	1.577931e-01	8.877298e+02	3.092589e+01
250           	nozzle_ext	1.775545e-03	9.346630e+01	1.294020e+00
250           	collector_int	7.214679e+00	6.378018e+02	1.314644e+02
