"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
7.6484,0,-1.1078e-05,434.48,1,0.984
7.6944,0,-1.1258e-05,434.13,1,0.992
7.7403,0,-1.1438e-05,433.78,1,1
7.7882,0,-1.1631e-05,433.41,1,1.008
7.8361,0,-1.1824e-05,433.03,1,1.016
7.8845,0,-1.2021e-05,432.66,1,1.024
7.9344,0,-1.2231e-05,432.26,1,1.032
7.9843,0,-1.2442e-05,431.87,1,1.04
8.0351,0,-1.2659e-05,431.46,1,1.048
8.0871,0,-1.2885e-05,431.04,1,1.056
8.1391,0,-1.3111e-05,430.62,1,1.064
8.1925,0,-1.3348e-05,430.19,1,1.072
8.2466,0,-1.3589e-05,429.74,1,1.08
8.3008,0,-1.383e-05,429.3,1,1.088
8.3568,0,-1.4082e-05,428.83,1,1.096
8.4132,0,-1.4335e-05,428.36,1,1.104
8.4698,0,-1.459e-05,427.88,1,1.112
8.5284,0,-1.485e-05,427.38,1,1.12
8.587,0,-1.5111e-05,426.88,1,1.128
8.6464,0,-1.5375e-05,426.37,1,1.136
8.7074,0,-1.5649e-05,425.84,1,1.144
8.7684,0,-1.5923e-05,425.31,1,1.152
8.8307,0,-1.6208e-05,424.76,1,1.16
8.8942,0,-1.6501e-05,424.2,1,1.168
8.9576,0,-1.6794e-05,423.64,1,1.176
9.0229,0,-1.7113e-05,423.05,1,1.184
9.0889,0,-1.7438e-05,422.45,1,1.192
9.1548,0,-1.7764e-05,421.86,1,1.2
9.2233,0,-1.8112e-05,421.23,1,1.208
9.2918,0,-1.8459e-05,420.59,1,1.216
9.3609,0,-1.8808e-05,419.95,1,1.224
9.4321,0,-1.916e-05,419.28,1,1.232
9.5032,0,-1.9513e-05,418.61,1,1.24
9.5756,0,-1.9862e-05,417.92,1,1.248
9.6495,0,-2.0209e-05,417.21,1,1.256
9.7234,0,-2.0555e-05,416.5,1,1.264
9.7992,0,-2.0902e-05,415.76,1,1.272
9.8759,0,-2.1248e-05,415,1,1.28
9.9527,0,-2.1595e-05,414.25,1,1.288
10.032,0,-2.1952e-05,413.45,1,1.296
10.112,0,-2.2311e-05,412.65,1,1.304
10.192,0,-2.267e-05,411.84,1,1.312
10.274,0,-2.3022e-05,410.99,1,1.32
10.357,0,-2.3374e-05,410.14,1,1.328
10.44,0,-2.3725e-05,409.28,1,1.336
10.526,0,-2.4074e-05,408.38,1,1.344
10.612,0,-2.4422e-05,407.48,1,1.352
10.699,0,-2.4769e-05,406.54,1,1.36
10.788,0,-2.5114e-05,405.59,1,1.368
10.876,0,-2.5459e-05,404.63,1,1.376
10.968,0,-2.5799e-05,403.63,1,1.384
11.06,0,-2.6138e-05,402.62,1,1.392
11.152,0,-2.6477e-05,401.61,1,1.4
11.247,0,-2.6806e-05,400.54,1,1.408
11.342,0,-2.7135e-05,399.46,1,1.416
11.438,0,-2.7462e-05,398.37,1,1.424
11.536,0,-2.7784e-05,397.24,1,1.432
11.635,0,-2.8107e-05,396.1,1,1.44
11.735,0,-2.8435e-05,394.93,1,1.448
11.837,0,-2.8771e-05,393.73,1,1.456
11.939,0,-2.9107e-05,392.52,1,1.464
12.043,0,-2.9451e-05,391.27,1,1.472
12.149,0,-2.9799e-05,389.99,1,1.48
12.254,0,-3.0147e-05,388.72,1,1.488
12.362,0,-3.0489e-05,387.37,1,1.496
12.471,0,-3.083e-05,386.02,1,1.504
12.581,0,-3.1169e-05,384.66,1,1.512
12.693,0,-3.1501e-05,383.23,1,1.52
12.805,0,-3.1832e-05,381.8,1,1.528
12.919,0,-3.2156e-05,380.35,1,1.536
13.035,0,-3.247e-05,378.84,1,1.544
13.151,0,-3.2782e-05,377.32,1,1.552
13.269,0,-3.3084e-05,375.76,1,1.56
13.388,0,-3.3378e-05,374.17,1,1.568
13.508,0,-3.3669e-05,372.57,1,1.576
13.63,0,-3.394e-05,370.9,1,1.584
13.753,0,-3.4204e-05,369.22,1,1.592
13.877,0,-3.4465e-05,367.53,1,1.6
