,X,Y,Z,alpha,beta,p_static,velocity
0,-800.0,0.0,0.0,-1.1603350959792977,-0.6571910317449483,99097.05346729195,30.097563434816216
1,-700.0,0.0,0.0,-1.1882838679074255,-0.7182332102838702,99103.02127381007,30.046269625152252
2,-600.0,0.0,0.0,-1.12743390192648,-0.7181460001909478,99103.30256395265,30.09290781383126
3,-500.0,0.0,0.0,-1.2708169237974551,-0.6376276886137638,99108.49459415507,30.00366834720031
4,-400.0,0.0,0.0,-1.2234875499543356,-0.7566750085212942,99110.18486409933,30.042902210723994
5,-300.0,0.0,0.0,-1.212695500304025,-0.6985805367567913,99110.80944358344,30.024276936367915
6,-200.0,0.0,0.0,-1.1598778125321005,-0.754681138441995,99110.24882784786,30.122255888264498
7,-100.0,0.0,0.0,-1.3128975021627338,-0.6534802539599842,99111.85351851977,30.04829477016265
8,0.0,0.0,0.0,-1.4071955248939072,-0.6374755386007005,99120.41101636847,29.897273357576296
9,100.0,0.0,0.0,-1.4014159030750823,-0.6544616772505786,99118.12071200236,29.959821669959247
10,200.0,0.0,0.0,-1.4912967932397048,-0.7090120243768022,99117.11811547773,29.98845031223847
11,300.0,0.0,0.0,-1.6436736007751092,-0.6703742184331102,99122.14651065502,29.85097672220037
12,400.0,0.0,0.0,-1.4708744497926451,-0.5980088453918924,99123.76699450366,29.832035561249153
13,500.0,0.0,0.0,-1.4265571505124222,-0.8201884594186692,99127.47251641162,29.84699462543429
14,600.0,0.0,0.0,-1.4019592319894134,-0.8078167605513084,99128.40167733945,29.739732603169017
15,-800.0,-500.0,-300.0,-2.3169237716924407,-0.11876021503756391,99128.92088586217,30.060739025345356
16,-800.0,0.0,-300.0,-1.1899471032578364,-0.9747956067841845,99132.64036757208,29.7938917480541
17,-800.0,500.0,-300.0,-2.372719963328834,-0.7480818769631155,99130.54073714121,30.062619778069386
18,-800.0,500.0,0.0,-2.2108522613111075,-0.23817657344775836,99132.74873386046,30.175258208921083
19,-800.0,0.0,0.0,-1.2940480946657977,-0.8177018372803035,99131.10917175018,30.28848844785607
20,-800.0,-500.0,0.0,-2.0761335293920853,-0.5041121480285151,99136.00824407164,30.040392870618767
21,-800.0,-500.0,300.0,-1.3190346254468064,-0.6568645874907796,99128.32018057322,30.357860544905456
22,-800.0,0.0,300.0,-1.0399245753131654,-0.6689625075420966,99127.8436333351,30.345624382176773
23,-800.0,500.0,300.0,-1.685209457102082,-0.6738781307163281,99127.52258450295,30.485763182899845
24,-800.0,0.0,-400.0,-6.834077685250736,-0.5897875404376247,99132.86865174965,18.68437672695779
25,-800.0,0.0,-380.0,-2.373098810708644,-0.09947853286788663,99134.09415892957,28.761906908298812
26,-800.0,0.0,-360.0,-0.6230427075991793,0.5982196157849603,99138.15873519577,29.690257053673516
