# y+ ()       
# Time        	patch         	min           	max           	average       
130           	diffuser_int	3.265590e+00	4.326178e+02	4.171241e+01
130           	diffuser_ext	2.156352e-02	9.065677e+01	5.514475e+00
140           	nozzle_int	2.212894e+00	6.729415e+02	4.876781e+01
140           	nozzle_ext	3.718053e-03	8.563293e+01	8.838270e-01
140           	collector_int	5.350142e+00	2.011356e+02	7.634554e+01
140           	collector_ext	5.982564e-02	8.586153e+01	8.598419e+00
140           	diffuser_int	2.439249e+00	4.739674e+02	4.318267e+01
140           	diffuser_ext	1.530582e-02	9.195667e+01	5.532191e+00
150           	nozzle_int	2.197191e+00	6.726152e+02	4.878822e+01
150           	nozzle_ext	1.934213e-03	8.601534e+01	8.816081e-01
150           	collector_int	3.826118e+00	1.825324e+02	7.779848e+01
150           	collector_ext	4.936328e-02	8.514979e+01	8.870692e+00
150           	diffuser_int	2.037510e+00	4.871646e+02	4.561892e+01
150           	diffuser_ext	2.541164e-02	9.279225e+01	5.327209e+00
160           	nozzle_int	2.240285e+00	6.726502e+02	4.881280e+01
160           	nozzle_ext	9.420609e-04	8.595510e+01	8.807187e-01
160           	collector_int	4.102138e+00	1.917779e+02	7.886279e+01
160           	collector_ext	4.494015e-02	8.612208e+01	8.854998e+00
160           	diffuser_int	8.688724e-01	4.950168e+02	4.803655e+01
160           	diffuser_ext	6.085269e-03	9.342034e+01	5.060539e+00
170           	nozzle_int	2.263982e+00	6.730162e+02	4.884190e+01
170           	nozzle_ext	1.463923e-03	8.557639e+01	8.852185e-01
170           	collector_int	4.510758e+00	1.882281e+02	7.952947e+01
170           	collector_ext	8.240913e-02	8.613166e+01	9.128920e+00
170           	diffuser_int	1.950061e+00	4.949544e+02	5.011111e+01
170           	diffuser_ext	2.088836e-02	9.397292e+01	4.781273e+00
180           	nozzle_int	2.287739e+00	6.735124e+02	4.887335e+01
180           	nozzle_ext	1.953551e-03	8.529466e+01	8.892556e-01
180           	collector_int	4.608585e+00	1.992914e+02	7.989448e+01
180           	collector_ext	7.685952e-02	8.642261e+01	9.222627e+00
180           	diffuser_int	1.228431e+00	4.948576e+02	5.150356e+01
180           	diffuser_ext	1.519734e-02	9.445510e+01	4.703631e+00
190           	nozzle_int	2.306934e+00	6.739510e+02	4.890599e+01
190           	nozzle_ext	2.194470e-03	8.519638e+01	8.925971e-01
190           	collector_int	5.228369e+00	1.996427e+02	8.016650e+01
190           	collector_ext	3.748939e-02	8.631220e+01	9.167657e+00
190           	diffuser_int	1.784862e+00	4.959075e+02	5.317495e+01
190           	diffuser_ext	1.710404e-02	9.449025e+01	4.693079e+00
200           	nozzle_int	2.323318e+00	6.742513e+02	4.893592e+01
200           	nozzle_ext	1.666156e-03	8.517450e+01	8.954745e-01
200           	collector_int	5.351692e+00	2.013584e+02	8.040498e+01
200           	collector_ext	7.381583e-02	8.603788e+01	9.225755e+00
200           	diffuser_int	2.303380e+00	4.962780e+02	5.465224e+01
200           	diffuser_ext	2.290951e-02	9.430000e+01	4.766716e+00
210           	nozzle_int	2.339450e+00	6.744259e+02	4.895972e+01
210           	nozzle_ext	1.170993e-03	8.520004e+01	8.985421e-01
210           	collector_int	5.481162e+00	2.026338e+02	8.059259e+01
210           	collector_ext	3.643449e-02	8.586629e+01	9.239929e+00
210           	diffuser_int	1.907127e+00	4.964386e+02	5.572023e+01
210           	diffuser_ext	1.147772e-02	9.413067e+01	4.824414e+00
220           	nozzle_int	2.355992e+00	6.745194e+02	4.897653e+01
220           	nozzle_ext	2.713657e-03	8.522026e+01	9.016377e-01
220           	collector_int	5.553899e+00	2.028132e+02	8.072700e+01
220           	collector_ext	3.120167e-02	8.573684e+01	9.252664e+00
220           	diffuser_int	2.279773e+00	4.971035e+02	5.651409e+01
220           	diffuser_ext	2.533775e-02	9.413249e+01	4.834102e+00
230           	nozzle_int	2.373109e+00	6.745682e+02	4.898741e+01
230           	nozzle_ext	1.018191e-03	8.525279e+01	9.046635e-01
230           	collector_int	5.606471e+00	2.035654e+02	8.085416e+01
230           	collector_ext	9.592772e-02	8.565150e+01	9.246049e+00
230           	diffuser_int	2.108053e+00	4.977475e+02	5.712401e+01
230           	diffuser_ext	7.392942e-03	9.417242e+01	4.846784e+00
240           	nozzle_int	2.390433e+00	6.745935e+02	4.899405e+01
240           	nozzle_ext	1.400713e-03	8.529001e+01	9.074148e-01
240           	collector_int	5.674258e+00	2.044638e+02	8.097294e+01
