# y+ ()       
# Time        	patch         	min           	max           	average       
130           	diffuser_int	1.121251e+01	4.790591e+02	1.127797e+02
130           	diffuser_ext	6.672008e+00	9.553582e+02	1.148314e+02
140           	nozzle_int	6.034367e-01	2.297542e+02	3.792115e+01
140           	nozzle_ext	4.224728e+00	3.426590e+02	1.352746e+01
140           	collector_int	9.506403e+00	5.031664e+02	1.279632e+02
140           	collector_ext	1.151424e+01	9.747152e+02	1.214575e+02
140           	diffuser_int	1.229563e+01	4.255926e+02	1.099665e+02
140           	diffuser_ext	7.997333e+00	1.159479e+03	1.215012e+02
150           	nozzle_int	6.034359e-01	2.264593e+02	3.730703e+01
150           	nozzle_ext	4.428532e+00	3.283850e+02	1.392761e+01
150           	collector_int	9.169715e+00	4.239240e+02	1.329630e+02
150           	collector_ext	9.969726e+00	1.052623e+03	1.217191e+02
150           	diffuser_int	1.124106e+01	3.751329e+02	1.067482e+02
150           	diffuser_ext	8.881356e+00	1.208473e+03	1.265579e+02
160           	nozzle_int	6.034353e-01	2.233480e+02	3.680947e+01
160           	nozzle_ext	4.633468e+00	3.174744e+02	1.436703e+01
160           	collector_int	9.957354e+00	4.144428e+02	1.393272e+02
160           	collector_ext	9.025674e+00	1.058352e+03	1.197865e+02
160           	diffuser_int	1.114433e+01	3.457138e+02	1.036692e+02
160           	diffuser_ext	1.057602e+01	1.247461e+03	1.296496e+02
170           	nozzle_int	6.034350e-01	2.205314e+02	3.643344e+01
170           	nozzle_ext	4.855741e+00	3.093577e+02	1.483052e+01
170           	collector_int	1.010597e+01	4.049868e+02	1.464846e+02
170           	collector_ext	8.806936e+00	1.066318e+03	1.164256e+02
170           	diffuser_int	1.132910e+01	3.455923e+02	1.012659e+02
170           	diffuser_ext	1.081934e+01	1.297605e+03	1.312581e+02
180           	nozzle_int	6.034345e-01	2.179245e+02	3.617316e+01
180           	nozzle_ext	4.972394e+00	3.032727e+02	1.530514e+01
180           	collector_int	1.087193e+01	4.026808e+02	1.532348e+02
180           	collector_ext	7.527494e+00	1.046864e+03	1.126766e+02
180           	diffuser_int	1.080853e+01	3.517761e+02	9.960807e+01
180           	diffuser_ext	1.174710e+01	1.363394e+03	1.319332e+02
190           	nozzle_int	6.034341e-01	2.155165e+02	3.599330e+01
190           	nozzle_ext	5.073511e+00	2.986704e+02	1.577557e+01
190           	collector_int	1.154362e+01	4.299188e+02	1.591766e+02
190           	collector_ext	6.627998e+00	9.494214e+02	1.091482e+02
190           	diffuser_int	1.117708e+01	3.629064e+02	9.858833e+01
190           	diffuser_ext	1.288794e+01	1.411816e+03	1.317882e+02
200           	nozzle_int	6.034340e-01	2.133437e+02	3.586867e+01
200           	nozzle_ext	5.189462e+00	2.951241e+02	1.623057e+01
200           	collector_int	1.224102e+01	4.563886e+02	1.644962e+02
200           	collector_ext	6.244076e+00	7.913679e+02	1.060858e+02
200           	diffuser_int	1.201433e+01	3.679024e+02	9.820494e+01
200           	diffuser_ext	1.568391e+01	1.435460e+03	1.312864e+02
210           	nozzle_int	6.034338e-01	2.113232e+02	3.577995e+01
210           	nozzle_ext	5.279752e+00	2.921945e+02	1.666509e+01
210           	collector_int	1.312460e+01	4.771332e+02	1.692138e+02
210           	collector_ext	5.950341e+00	6.183111e+02	1.035125e+02
210           	diffuser_int	1.174228e+01	3.801684e+02	9.838185e+01
210           	diffuser_ext	1.605443e+01	1.452186e+03	1.307083e+02
220           	nozzle_int	6.034338e-01	2.093292e+02	3.571364e+01
220           	nozzle_ext	5.352724e+00	2.901821e+02	1.707056e+01
220           	collector_int	1.388643e+01	4.920746e+02	1.731263e+02
220           	collector_ext	5.654146e+00	5.544988e+02	1.013984e+02
220           	diffuser_int	1.171014e+01	3.920431e+02	9.916175e+01
220           	diffuser_ext	1.506269e+01	1.464908e+03	1.301826e+02
230           	nozzle_int	6.034338e-01	2.072591e+02	3.566214e+01
230           	nozzle_ext	5.422762e+00	2.889463e+02	1.745005e+01
230           	collector_int	1.436368e+01	5.017121e+02	1.761755e+02
230           	collector_ext	5.499171e+00	5.625083e+02	9.966971e+01
230           	diffuser_int	1.130449e+01	3.989277e+02	1.005722e+02
230           	diffuser_ext	1.394351e+01	1.469361e+03	1.297083e+02
240           	nozzle_int	6.034339e-01	2.050083e+02	3.562140e+01
240           	nozzle_ext	5.490751e+00	2.878270e+02	1.778382e+01
240           	collector_int	1.474623e+01	5.075979e+02	1.785316e+02
240           	collector_ext	4.334327e+00	5.703583e+02	9.823888e+01
240           	diffuser_int	1.127865e+01	4.041632e+02	1.018055e+02
240           	diffuser_ext	1.394416e+01	1.467484e+03	1.292361e+02
250           	nozzle_int	6.034339e-01	2.024724e+02	3.558987e+01
250           	nozzle_ext	5.555868e+00	2.868769e+02	1.806406e+01
250           	collector_int	1.509710e+01	5.095778e+02	1.803284e+02
250           	collector_ext	3.953644e+00	5.769785e+02	9.705674e+01
250           	diffuser_int	1.095834e+01	4.069073e+02	1.030464e+02
250           	diffuser_ext	1.423862e+01	1.459402e+03	1.286878e+02
260           	nozzle_int	6.034339e-01	1.996320e+02	3.556673e+01
260           	nozzle_ext	5.617946e+00	2.864267e+02	1.832073e+01
260           	collector_int	1.493405e+01	5.094924e+02	1.816300e+02
260           	collector_ext	3.859508e+00	5.809364e+02	9.606128e+01
260           	diffuser_int	1.078363e+01	4.082542e+02	1.044230e+02
260           	diffuser_ext	1.337615e+01	1.451321e+03	1.280359e+02
270           	nozzle_int	6.034336e-01	1.966109e+02	3.555058e+01
