alpha,beta,c_din,c_tot,c_alpha,c_beta
10.0000000,15.0000000,0.5774442,-0.2053957,0.8852494,1.4619420
10.0000000,20.0000000,0.5708325,-0.3631547,0.8672782,1.9263200
15.0000000,-20.0000000,0.5113368,-0.6036861,1.4731780,-1.9079540
15.0000000,-15.0000000,0.5310996,-0.3987216,1.4552240,-1.4045470
15.0000000,-10.0000000,0.5381061,-0.2739973,1.4476090,-0.9313372
15.0000000,-5.0000000,0.5501223,-0.1910930,1.4375630,-0.4268815
15.0000000,0.0000000,0.5572473,-0.1656635,1.4208940,0.0533707
15.0000000,5.0000000,0.5537933,-0.1854784,1.4294350,0.5400184
15.0000000,10.0000000,0.5607209,-0.2254602,1.4024710,1.0225140
15.0000000,15.0000000,0.5667865,-0.3255279,1.3653040,1.4922860
15.0000000,20.0000000,0.5622898,-0.4828530,1.3243200,1.9609150
18.0000000,-20.0000000,0.5055738,-0.7091771,1.8028070,-1.9412650
18.0000000,-15.0000000,0.5280536,-0.4902007,1.7693530,-1.4044920
18.0000000,-10.0000000,0.5404185,-0.3556906,1.7359180,-0.8970314
18.0000000,-5.0000000,0.5542440,-0.2710404,1.7380780,-0.4218979
18.0000000,0.0000000,0.5633261,-0.2410595,1.7232650,0.0654978
18.0000000,5.0000000,0.5630794,-0.2551855,1.7153040,0.5514506
18.0000000,10.0000000,0.5598393,-0.3116585,1.7205070,1.0326730
18.0000000,15.0000000,0.5579939,-0.4266175,1.7008840,1.5264200
18.0000000,20.0000000,0.5456520,-0.6098131,1.6963730,2.0419450
20.0000000,-20.0000000,0.4949621,-0.8086768,1.9923970,-1.9486740
20.0000000,-15.0000000,0.5208728,-0.5713013,1.9357490,-1.4022190
20.0000000,-10.0000000,0.5341983,-0.4283302,1.9181650,-0.8815596
20.0000000,-5.0000000,0.5465138,-0.3519402,1.9055030,-0.4059310
20.0000000,0.0000000,0.5545071,-0.3193892,1.8935890,0.0845409
20.0000000,5.0000000,0.5461487,-0.3497904,1.9176180,0.5596367
20.0000000,10.0000000,0.5557210,-0.3827610,1.8741820,1.0393820
20.0000000,15.0000000,0.5470730,-0.5092711,1.8855410,1.5621400
20.0000000,20.0000000,0.5301918,-0.7155211,1.8919600,2.0855840
