# y+ ()       
# Time        	patch         	min           	max           	average       
130           	diffuser_int	2.059277e+00	1.613354e+02	5.713758e+01
130           	diffuser_ext	9.111772e-03	7.216047e+01	4.001121e+00
140           	nozzle_int	1.770032e+00	4.675088e+02	4.778015e+01
140           	nozzle_ext	1.723236e-03	6.122812e+01	6.055844e-01
140           	collector_int	2.626613e+00	1.355217e+02	6.217032e+01
140           	collector_ext	7.028725e-02	5.419290e+01	5.292114e+00
140           	diffuser_int	2.158656e+00	1.300082e+02	5.447014e+01
140           	diffuser_ext	1.307964e-02	6.944136e+01	3.843939e+00
150           	nozzle_int	1.797383e+00	4.668789e+02	4.783142e+01
150           	nozzle_ext	1.007619e-04	6.133505e+01	5.822519e-01
150           	collector_int	2.822893e+00	1.479448e+02	6.981990e+01
150           	collector_ext	2.260217e-02	4.880123e+01	5.314795e+00
150           	diffuser_int	2.685598e+00	1.327235e+02	5.008913e+01
150           	diffuser_ext	9.768300e-03	6.612195e+01	3.616248e+00
160           	nozzle_int	1.793894e+00	4.672780e+02	4.787384e+01
160           	nozzle_ext	5.957813e-04	6.158195e+01	5.658048e-01
160           	collector_int	2.717702e+00	1.442977e+02	7.061550e+01
160           	collector_ext	3.006740e-03	4.869038e+01	5.279725e+00
160           	diffuser_int	2.583891e+00	1.408630e+02	4.654295e+01
160           	diffuser_ext	1.780843e-02	7.049770e+01	3.528345e+00
170           	nozzle_int	1.785232e+00	4.677329e+02	4.790627e+01
170           	nozzle_ext	2.032321e-04	6.204312e+01	5.591072e-01
170           	collector_int	3.024560e+00	1.474872e+02	7.446546e+01
170           	collector_ext	7.626785e-03	5.269153e+01	5.296549e+00
170           	diffuser_int	2.402037e+00	1.533862e+02	4.635324e+01
170           	diffuser_ext	2.450295e-03	7.119585e+01	3.498395e+00
180           	nozzle_int	1.787066e+00	4.678189e+02	4.792749e+01
180           	nozzle_ext	2.205730e-04	6.179383e+01	5.549441e-01
180           	collector_int	3.082183e+00	1.497211e+02	7.688585e+01
180           	collector_ext	2.284774e-02	5.416106e+01	5.421123e+00
180           	diffuser_int	2.958443e+00	1.564141e+02	4.587941e+01
180           	diffuser_ext	1.048063e-02	7.460551e+01	3.459615e+00
190           	nozzle_int	1.794208e+00	4.676611e+02	4.794168e+01
190           	nozzle_ext	5.699055e-04	6.107452e+01	5.518846e-01
190           	collector_int	3.318853e+00	1.485411e+02	7.754556e+01
